16/01,Fast Correction,784,849
16/02,GEO Nav,790,808
16/03,IGP Delay,839,30
16/07,LTC,788,810
16/12,Ext Mode Msg,202,224
16/13,GEO Broadcast,721,771
16/14,GEO Measurements,722,781
16/15,GPS Measurements,732,809
16/16,GUS Cntl Loop Lock,102,132
16/18,L1/L2 Bias,252,571
16/19,Message Output Msg,243,291
16/23,Sel CV Cntl Src,704,768
16/26,WRE PA Msg,721,771
16/27,Sub Frame Data,955,223
16/28,Thread Switch Msg,955,223
16/36,Subframe 1 CRC,817,723
16/37,Subframe 2 CRC,817,722
16/38,Subframe 3 CRC,817,722
16/41,RG3D Msg,956,720
16/42,RG3E Msg,841,577
02/03,SP Perf Data,832,843
02/08,LRU Data,942,958
02/13,MSG Mode,700,729
19/15,GEO Test MSG,93,121
19/17,Current WAAS Mode,93,121
21/22,Clock Bias Delta,919,975
23/05,MSG Val Status,722,771
26/06,WAAS User Msg,242,282
26/37,GIVE Report,405,459
